"CustomerRef","MeterNumber"
"16450643/5","2873"
"16440641/30","2804"
"16440641/4","1771"
"16440644/1","1760"
"16470640/1","2860"
"16430637/10","2745"
"16440637/5","2893"
"16480636/6","2704"
"16450638/1","2836"
"164406381","284"
"16450639/6","2908"
"16430637/7","2846"
"16450645/2","2744"
"16440637/10","2691"
"16460639/2","2912"
"16420642/9","2825"
"16450640/7","2749"
"16420642/14","2685"
"16450639/12","2886"
"16450644/3","2918"
"16450645/5","2835"
"16450640/14","2779"
"16450640/13","2657"
"16450645/4","2933"
"16420642/6","2670"
